,0
2020,83.77319753016032
2021,83.9835177194264
2022,84.19377837959445
2023,84.40400369025856
2024,84.6142179388052
2025,84.82444552521177
2026,85.03471096663806
2027,85.24503890182271
2028,85.4554540952939
2029,85.66598144140843
2030,85.87664596822573
2031,86.08747284123137
2032,86.29848736691662
2033,86.50971499622638
2034,86.72118132788377
2035,86.93291211160044
2036,87.14493325118275
2037,87.35727080754052
2038,87.56995100160896
2039,87.78300021719028
